player,season,all_star
Ben Wallace,2004-05,1
Vince Carter,2004-05,1
Ray Allen,2004-05,1
Yao Ming,2004-05,1
Amar'e Stoudemire,2004-05,1
Gilbert Arenas,2004-05,1
Antawn Jamison,2004-05,1
Larry Hughes,2004-05,1
Chauncey Billups,2004-05,1
Rasheed Wallace,2004-05,1
Allen Iverson,2005-06,1
Tim Duncan,2005-06,1
LeBron James,2005-06,1
Dwyane Wade,2005-06,1
Steve Nash,2005-06,1
Kobe Bryant,2005-06,1
Shaquille O'Neal,2005-06,1
Dirk Nowitzki,2005-06,1
Tracy McGrady,2005-06,1
Jermaine O'Neal,2005-06,1
Ben Wallace,2005-06,1
Vince Carter,2005-06,1
Ray Allen,2005-06,1
Yao Ming,2005-06,1
Amar'e Stoudemire,2005-06,1
Gilbert Arenas,2005-06,1
Chauncey Billups,2005-06,1
Paul Pierce,2005-06,1
Tony Parker,2005-06,1
Chris Bosh,2005-06,1
LeBron James,2006-07,1
Dwyane Wade,2006-07,1
Steve Nash,2006-07,1
Kobe Bryant,2006-07,1
Dirk Nowitzki,2006-07,1
Tim Duncan,2006-07,1
Tracy McGrady,2006-07,1
Vince Carter,2006-07,1
Yao Ming,2006-07,1
Amar'e Stoudemire,2006-07,1
Gilbert Arenas,2006-07,1
Chauncey Billups,2006-07,1
Richard Hamilton,2006-07,1
Chris Bosh,2006-07,1
Carmelo Anthony,2006-07,1
Allen Iverson,2006-07,1
Pau Gasol,2006-07,1
Carlos Boozer,2006-07,1
Manu Ginobili,2006-07,1
Jason Kidd,2006-07,1
LeBron James,2007-08,1
Dwyane Wade,2007-08,1
Steve Nash,2007-08,1
Kobe Bryant,2007-08,1
Dirk Nowitzki,2007-08,1
Tim Duncan,2007-08,1
Tracy McGrady,2007-08,1
Yao Ming,2007-08,1
Amar'e Stoudemire,2007-08,1
Chauncey Billups,2007-08,1
Chris Bosh,2007-08,1
Carmelo Anthony,2007-08,1
Allen Iverson,2007-08,1
Paul Pierce,2007-08,1
Kevin Garnett,2007-08,1
Ray Allen,2007-08,1
Chris Paul,2007-08,1
Dwight Howard,2007-08,1
Carlos Boozer,2007-08,1
Caron Butler,2007-08,1
LeBron James,2008-09,1
Dwyane Wade,2008-09,1
Steve Nash,2008-09,1
Kobe Bryant,2008-09,1
Dirk Nowitzki,2008-09,1
Tim Duncan,2008-09,1
Yao Ming,2008-09,1
Amar'e Stoudemire,2008-09,1
Chris Bosh,2008-09,1
Carmelo Anthony,2008-09,1
Paul Pierce,2008-09,1
Kevin Garnett,2008-09,1
Chris Paul,2008-09,1
Dwight Howard,2008-09,1
Tony Parker,2008-09,1
Danny Granger,2008-09,1
Mo Williams,2008-09,1
Devin Harris,2008-09,1
David West,2008-09,1
Pau Gasol,2008-09,1
LeBron James,2009-10,1
Dwyane Wade,2009-10,1
Steve Nash,2009-10,1
Kobe Bryant,2009-10,1
Dirk Nowitzki,2009-10,1
Tim Duncan,2009-10,1
Yao Ming,2009-10,1
Amar'e Stoudemire,2009-10,1
Chris Bosh,2009-10,1
Carmelo Anthony,2009-10,1
Kevin Garnett,2009-10,1
Chris Paul,2009-10,1
Dwight Howard,2009-10,1
Tony Parker,2009-10,1
Pau Gasol,2009-10,1
Joe Johnson,2009-10,1
Deron Williams,2009-10,1
Al Horford,2009-10,1
Paul Pierce,2009-10,1
Kevin Durant,2009-10,1
LeBron James,2010-11,1
Dwyane Wade,2010-11,1
Steve Nash,2010-11,1
Kobe Bryant,2010-11,1
Dirk Nowitzki,2010-11,1
Kevin Durant,2010-11,1
Amar'e Stoudemire,2010-11,1
Chris Bosh,2010-11,1
Carmelo Anthony,2010-11,1
Chris Paul,2010-11,1
Dwight Howard,2010-11,1
Tony Parker,2010-11,1
Pau Gasol,2010-11,1
Joe Johnson,2010-11,1
Deron Williams,2010-11,1
Al Horford,2010-11,1
Kevin Garnett,2010-11,1
Russell Westbrook,2010-11,1
Rajon Rondo,2010-11,1
Blake Griffin,2010-11,1
LeBron James,2011-12,1
Dwyane Wade,2011-12,1
Kobe Bryant,2011-12,1
Kevin Durant,2011-12,1
Chris Paul,2011-12,1
Dwight Howard,2011-12,1
Carmelo Anthony,2011-12,1
Dirk Nowitzki,2011-12,1
Tony Parker,2011-12,1
Pau Gasol,2011-12,1
Deron Williams,2011-12,1
Blake Griffin,2011-12,1
Kevin Garnett,2011-12,1
Russell Westbrook,2011-12,1
Rajon Rondo,2011-12,1
Andrew Bynum,2011-12,1
Marc Gasol,2011-12,1
Chris Bosh,2011-12,1
Roy Hibbert,2011-12,1
Tyson Chandler,2011-12,1
LeBron James,2012-13,1
Dwyane Wade,2012-13,1
Kobe Bryant,2012-13,1
Kevin Durant,2012-13,1
Chris Paul,2012-13,1
Dwight Howard,2012-13,1
Carmelo Anthony,2012-13,1
Tony Parker,2012-13,1
Blake Griffin,2012-13,1
Kevin Garnett,2012-13,1
Russell Westbrook,2012-13,1
Rajon Rondo,2012-13,1
Marc Gasol,2012-13,1
Chris Bosh,2012-13,1
Kyrie Irving,2012-13,1
Paul George,2012-13,1
Lamarcus Aldridge,2012-13,1
Zach Randolph,2012-13,1
Stephen Curry,2012-13,1
Jrue Holiday,2012-13,1
LeBron James,2013-14,1
Dwyane Wade,2013-14,1
Kobe Bryant,2013-14,1
Kevin Durant,2013-14,1
Chris Paul,2013-14,1
Dwight Howard,2013-14,1
Carmelo Anthony,2013-14,1
Tony Parker,2013-14,1
Blake Griffin,2013-14,1
Russell Westbrook,2013-14,1
Kyrie Irving,2013-14,1
Paul George,2013-14,1
Lamarcus Aldridge,2013-14,1
Stephen Curry,2013-14,1
Kevin Love,2013-14,1
Chris Bosh,2013-14,1
John Wall,2013-14,1
James Harden,2013-14,1
Dirk Nowitzki,2013-14,1
Joakim Noah,2013-14,1
LeBron James,2014-15,1
Kobe Bryant,2014-15,1
Kevin Durant,2014-15,1
Chris Paul,2014-15,1
Dwight Howard,2014-15,1
Carmelo Anthony,2014-15,1
Tony Parker,2014-15,1
Blake Griffin,2014-15,1
Russell Westbrook,2014-15,1
Kyrie Irving,2014-15,1
Paul George,2014-15,1
Lamarcus Aldridge,2014-15,1
Stephen Curry,2014-15,1
Kevin Love,2014-15,1
James Harden,2014-15,1
John Wall,2014-15,1
Marc Gasol,2014-15,1
Kyle Lowry,2014-15,1
Al Horford,2014-15,1
Jeff Teague,2014-15,1
LeBron James,2015-16,1
Kevin Durant,2015-16,1
Chris Paul,2015-16,1
Carmelo Anthony,2015-16,1
Blake Griffin,2015-16,1
Russell Westbrook,2015-16,1
Kyrie Irving,2015-16,1
Lamarcus Aldridge,2015-16,1
Stephen Curry,2015-16,1
James Harden,2015-16,1
John Wall,2015-16,1
Draymond Green,2015-16,1
Kyle Lowry,2015-16,1
Paul George,2015-16,1
Klay Thompson,2015-16,1
Damian Lillard,2015-16,1
Kawhi Leonard,2015-16,1
Pau Gasol,2015-16,1
Andre Drummond,2015-16,1
Dwyane Wade,2015-16,1
LeBron James,2016-17,1
Kevin Durant,2016-17,1
Chris Paul,2016-17,1
Carmelo Anthony,2016-17,1
Russell Westbrook,2016-17,1
Kyrie Irving,2016-17,1
Stephen Curry,2016-17,1
James Harden,2016-17,1
John Wall,2016-17,1
Draymond Green,2016-17,1
Kyle Lowry,2016-17,1
Klay Thompson,2016-17,1
Damian Lillard,2016-17,1
Kawhi Leonard,2016-17,1
Kevin Love,2016-17,1
Isaiah Thomas,2016-17,1
Giannis Antetokounmpo,2016-17,1
Paul Millsap,2016-17,1
Jimmy Butler,2016-17,1
DeMar DeRozan,2016-17,1
LeBron James,2017-18,1
Kevin Durant,2017-18,1
Russell Westbrook,2017-18,1
Kyrie Irving,2017-18,1
Stephen Curry,2017-18,1
James Harden,2017-18,1
John Wall,2017-18,1
Draymond Green,2017-18,1
Klay Thompson,2017-18,1
Damian Lillard,2017-18,1
Kawhi Leonard,2017-18,1
Kevin Love,2017-18,1
Giannis Antetokounmpo,2017-18,1
Paul Millsap,2017-18,1
Jimmy Butler,2017-18,1
DeMar DeRozan,2017-18,1
Bradley Beal,2017-18,1
Victor Oladipo,2017-18,1
Kemba Walker,2017-18,1
Andre Drummond,2017-18,1
LeBron James,2018-19,1
Kevin Durant,2018-19,1
Russell Westbrook,2018-19,1
Kyrie Irving,2018-19,1
Stephen Curry,2018-19,1
James Harden,2018-19,1
Draymond Green,2018-19,1
Klay Thompson,2018-19,1
Damian Lillard,2018-19,1
Kawhi Leonard,2018-19,1
Kevin Love,2018-19,1
Giannis Antetokounmpo,2018-19,1
Paul George,2018-19,1
Jimmy Butler,2018-19,1
DeMar DeRozan,2018-19,1
Bradley Beal,2018-19,1
Victor Oladipo,2018-19,1
Kemba Walker,2018-19,1
Ben Simmons,2018-19,1
Nikola Jokic,2018-19,1
LeBron James,2019-20,1
Anthony Davis,2019-20,1
Russell Westbrook,2019-20,1
Kyrie Irving,2019-20,1
James Harden,2019-20,1
Damian Lillard,2019-20,1
Kawhi Leonard,2019-20,1
Giannis Antetokounmpo,2019-20,1
Paul George,2019-20,1
Bradley Beal,2019-20,1
Kemba Walker,2019-20,1
Ben Simmons,2019-20,1
Nikola Jokic,2019-20,1
Chris Paul,2019-20,1
Trae Young,2019-20,1
Bam Adebayo,2019-20,1
Jayson Tatum,2019-20,1
Donovan Mitchell,2019-20,1
Pascal Siakam,2019-20,1
Khris Middleton,2019-20,1
LeBron James,2020-21,1
Anthony Davis,2020-21,1
Stephen Curry,2020-21,1
James Harden,2020-21,1
Damian Lillard,2020-21,1
Kawhi Leonard,2020-21,1
Giannis Antetokounmpo,2020-21,1
Bradley Beal,2020-21,1
Kemba Walker,2020-21,1
Ben Simmons,2020-21,1
Nikola Jokic,2020-21,1
Chris Paul,2020-21,1
Trae Young,2020-21,1
Bam Adebayo,2020-21,1
Jayson Tatum,2020-21,1
Donovan Mitchell,2020-21,1
Khris Middleton,2020-21,1
Rudy Gobert,2020-21,1
Zach LaVine,2020-21,1
Julius Randle,2020-21,1
LeBron James,2021-22,1
Stephen Curry,2021-22,1
James Harden,2021-22,1
Damian Lillard,2021-22,1
Giannis Antetokounmpo,2021-22,1
Joel Embiid,2021-22,1
Nikola Jokic,2021-22,1
Trae Young,2021-22,1
Jayson Tatum,2021-22,1
Donovan Mitchell,2021-22,1
Khris Middleton,2021-22,1
Rudy Gobert,2021-22,1
Zach LaVine,2021-22,1
DeMar DeRozan,2021-22,1
Kevin Durant,2021-22,1
Andrew Wiggins,2021-22,1
Chris Paul,2021-22,1
Fred VanVleet,2021-22,1
Darius Garland,2021-22,1
Jarrett Allen,2021-22,1
LeBron James,2022-23,1
Stephen Curry,2022-23,1
Damian Lillard,2022-23,1
Giannis Antetokounmpo,2022-23,1
Joel Embiid,2022-23,1
Nikola Jokic,2022-23,1
Jayson Tatum,2022-23,1
Donovan Mitchell,2022-23,1
Kevin Durant,2022-23,1
Zach LaVine,2022-23,1
DeMar DeRozan,2022-23,1
Kyrie Irving,2022-23,1
Lauri Markkanen,2022-23,1
Tyrese Haliburton,2022-23,1
Shai Gilgeous-Alexander,2022-23,1
Anthony Edwards,2022-23,1
Jaren Jackson Jr.,2022-23,1
Pascal Siakam,2022-23,1
Julius Randle,2022-23,1
Ja Morant,2022-23,1
LeBron James,2023-24,1
Stephen Curry,2023-24,1
Kevin Durant,2023-24,1
Nikola Jokic,2023-24,1
Giannis Antetokounmpo,2023-24,1
Joel Embiid,2023-24,1
Damian Lillard,2023-24,1
Jayson Tatum,2023-24,1
Tyrese Haliburton,2023-24,1
Bam Adebayo,2023-24,1
Shai Gilgeous-Alexander,2023-24,1
Anthony Edwards,2023-24,1
Devin Booker,2023-24,1
Kawhi Leonard,2023-24,1
Karl-Anthony Towns,2023-24,1
Jalen Brunson,2023-24,1
Trae Young,2023-24,1
Paolo Banchero,2023-24,1
Cade Cunningham,2023-24,1
Tyrese Maxey,2023-24,1
